country,city,gender,ethnicity,animal_type
China,Nuoxizhi,Male,Tongan,elephant
China,Tanbuqiao,Female,White,dog
United States,El Paso,Male,Cuban,dog
China,Zhongxin,Male,Spaniard,rabbit
China,Bijia,Female,Colombian,cat
China,Jinshan,Female,Alaskan Athabascan,elephant
China,Hebei,Male,Asian,horse
Brazil,Itabaiana,Male,Guatemalan,cat
China,Jinzhou,Male,Potawatomi,rabbit
China,Jianxin,Female,Creek,elephant
China,Zhuping,Female,Chickasaw,cat
United States,Dulles,Female,Yakama,horse
China,Hongqi Yingzi,Female,Sioux,elephant
China,Micheng,Male,White,horse
China,Yanglong,Female,Sioux,dog
China,Zhangdiyingzi,Male,Kiowa,cat
China,Jiangyi,Female,Tohono O'Odham,rabbit
China,Dahua,Male,Pima,cat
China,Qijiazuo,Male,Chilean,cat
China,Lin’an,Female,Crow,cat
Brazil,Aparecida,Male,Pakistani,elephant
United States,Miami,Female,Korean,dog
Canada,Conception Bay South,Female,Lumbee,cat
United States,Scottsdale,Female,Sri Lankan,horse
China,Xinglongchang,Female,Guamanian,cat
China,Xianghu,Male,Lumbee,rabbit
United States,Albany,Male,Ecuadorian,dog
United States,Philadelphia,Male,Argentinian,rabbit
China,Shuishiying,Female,Korean,horse
Brazil,Palmas,Male,Salvadoran,elephant
China,Xianghua,Male,Yuman,horse
Brazil,Machado,Male,Hmong,rabbit
China,Minle,Male,Osage,elephant
China,Huxiaoqiao,Male,Argentinian,elephant
China,Ximei,Female,Osage,elephant
China,Tewulike,Male,Chilean,cat
Brazil,Itajaí,Female,Osage,horse
China,Youguzhuang,Female,Sri Lankan,horse
China,Hedong,Male,Thai,elephant
China,Heshui,Male,Alaska Native,cat
China,Jinping,Male,Indonesian,cat
China,Xiakouyi,Male,Puget Sound Salish,dog
China,Yafan,Female,Creek,elephant
China,Zhenhai,Female,Samoan,horse
United States,Shawnee Mission,Male,Costa Rican,dog
China,Mijiang,Female,Delaware,rabbit
China,Lingcheng,Male,Korean,dog
China,Xianghuaqiao,Male,Korean,elephant
China,Maogou,Female,Iroquois,rabbit
United States,Roanoke,Female,Pima,dog
China,Pipa,Male,Chickasaw,cat
Brazil,Portão,Male,Chilean,rabbit
China,Guhua,Male,Aleut,elephant
United States,Decatur,Male,Mexican,cat
Canada,Meadow Lake,Male,Argentinian,dog
China,Huangliang,Female,Tlingit-Haida,rabbit
China,Heshang,Male,Colville,rabbit
China,Dongshan,Female,Cuban,horse
China,Dongxiaokou,Female,Ecuadorian,horse
China,Changqing,Female,Pueblo,elephant
China,Zhangpu,Male,Costa Rican,elephant
China,Tange Zhen,Male,Navajo,rabbit
China,Jinjing,Male,Samoan,cat
United States,Washington,Female,Colombian,dog
China,Luyi,Female,Laotian,cat
China,Huangqu,Female,Spaniard,horse
Brazil,Campo Maior,Female,Uruguayan,elephant
China,Yunshan,Male,Nicaraguan,dog
China,Xiongshan,Female,Cambodian,elephant
China,Ni’ao,Male,Navajo,cat
China,Shinaihai,Female,Argentinian,rabbit
China,Yuqian,Female,Ute,elephant
China,Hengxianhe,Male,Lumbee,elephant
China,Chengjiao,Male,Guamanian,dog
China,Wenxing,Male,Honduran,rabbit
